,Ref_x,Subject,Locale_processed
50,1166812,PROJECT LIGHTHOUSE (FIRST TOWER),FRA
318,1495296,Arkema SA,FRA
2482,2635387,Claire,FRA
2614,2807637,Project Infinity,FRA
2807,2826909,BENVIC EUROPE SAS,FRA
2970,2832630,Project Infinity,FRA
3581,2850092,Project Infinity,FRA
4344,3243541,IN PARTICIPATIONS SAS,FRA
5931,4224703,UNITED FRANCE 2021 PROPCO SNC,FRA
5940,4224723,SUEZ GROUPE SAS,FRA
6074,4225004,Project Loto,FRA
6231,4225544,Project Inflowmatix,FRA
6397,4225880,Integer France SAS,FRA
6416,4225908,Hestia,FRA
6483,4226039,Cellnex France Groupe,FRA
6484,4226040,Cellnex France Groupe,FRA
6485,4226041,Cellnex France Groupe,FRA
6516,4226117,Altus Group (France) Holdings SAS,FRA
6517,4226118,Altus Group (France) Holdings SAS,FRA
6815,4235459,Project Seine,FRA
6816,4235460,Project Seine,FRA
6835,4235487,Project Samba (France),FRA
8155,4566583,XP FIBRE (FRANCE),FRA
8276,4567135,EUTELSAT (FRANCE),FRA
8332,4567674,EUTELSAT (FRANCE),FRA
8371,4567760,SODEXO S.A. (France),FRA
8409,4567868,Political Risk (France),FRA
23270,5062135,PROJECT SME SOLAR,FRA
23271,5062136,PROJECT SME SIRIUS,FRA
23279,5062145,PROJECT SME NUREMBERG,FRA
23281,5062147,PROJECT SME MESSEBLICK,FRA
23359,5062235,PROJECT LUCCA,FRA
23360,5062236,PROJECT LUCCA,FRA
23430,5062321,PROJECT DARTAGNAN,FRA
23436,5062327,PROJECT CORTON 2,FRA
23437,5062328,PROJECT CORTON,FRA
23438,5062329,PROJECT CORTON,FRA
23808,5062979,STELLANTIS N.V,FRA
23809,5062980,STELLANTIS N.V,FRA
23847,5063065,SGD PHARMA HOLDING SAS,FRA
23894,5063157,RENAULT SAS,FRA
24072,5063484,KEOLIS,FRA
24401,5064070,Arkema SA,FRA
24402,5064071,Arkema SA,FRA
24403,5064072,Arkema SA,FRA
24411,5064096,Alstom S.A.,FRA
24412,5064097,Alstom S.A.,FRA
24413,5064098,Alstom S.A.,FRA
25112,5066730,REUNIVAL,FRA
26245,5071188,GEOFLUID,FRA
26246,5071189,GEOFLUID,FRA
26291,5071355,G P C INSTRUMENTAL & PROCESS S A R L,FRA
26292,5071356,G P C INSTRUMENTAL & PROCESS S A R L,FRA
26581,5072549,DAL DRILLING CONSULTANTS,FRA
28159,5076889,FIXAGE,FRA
28222,5076986,ENGIE S A,FRA
28400,5077310,BPCE,FRA
33338,5104319,SEAOWL EXPANSION SAS,FRA
33363,5104355,SAFRAN ELECTRONICS & DEFENSE,FRA
33394,5104400,RAIL CAPITAL EUROPE INVESTMENT,FRA
33395,5104401,RAIL CAPITAL EUROPE INVESTMENT,FRA
33420,5104442,PRIMOPIERRE ET AL,FRA
33523,5104602,NACO SAS,FRA
33614,5104734,LF GERMANY URBAN LOGISTICS SOCIÉTÉ CIVILE IMMOBILIÈRE,FRA
33615,5104735,LF GERMANY OFFICE 2 SOCIÉTÉ CIVILE IMMOBILIÈRE,FRA
33633,5104762,KOLISEE A,FRA
33880,5105126,EDF SA,FRA
33998,5105316,C87,FRA
34153,5105535,ALD S A,FRA
34154,5105536,ALD S A,FRA
34161,5105547,AIRTIES SAS,FRA
34193,5105602,2 M PROMOTION SAS,FRA
34194,5105603,2 M PROMOTION SAS,FRA
34237,5105670,Vencorex Holding SAS,FRA
34247,5105681,United Pharmaceuticals SAS,FRA
34249,5105684,Unibail-Rodamco S.E.,FRA
34250,5105688,ULMA S.a.r.l.,FRA
34264,5105715,Total Energies SE,FRA
34282,5105746,Terreal SAS,FRA
34294,5105772,SUEZ GROUPE SAS,FRA
34333,5105848,SCHWEITZER MAUDUIT HOLDING S.A.S.,FRA
34335,5105850,Schlumberger Ltd.,FRA
34339,5105855,SANOFI SA,FRA
34345,5105866,S.P.C.M. Sa,FRA
34364,5105903,RATP DEVELOPPEMENT,FRA
34391,5105945,Pierre Et Vacances SA,FRA
34427,5106000,NTN-SNR Roulements,FRA
34443,5106027,Neoen S.A,FRA
34503,5106133,LISI SA,FRA
34513,5106145,Le Train SAS,FRA
34581,5106261,Groupe Trouillet,FRA
34598,5106288,GETLINK SE,FRA
34606,5106298,GALIEN LPS,FRA
34612,5106305,Framatome,FRA
34632,5106334,Europorte SAS,FRA
34634,5106336,EUROFOIL FRANCE SAS,FRA
34644,5106354,Eiffage Rail Express,FRA
34648,5106361,Dream Yacht Mediterranee SARL,FRA
34656,5106376,DEMATHIEU & BARD GROUPE,FRA
34659,5106379,Défense Conseil International S.A.,FRA
34668,5106395,CYBERGUN SA,FRA
34670,5106399,CSY Holding SARL,FRA
34697,5106448,CLAYENS NP SAS,FRA
34764,5106592,Alstom S.A.,FRA
34916,5106758,Corton*,FRA
34920,5106762,Carré,FRA
34922,5106764,Artois,FRA
35049,5106901,Corton*,FRA
35053,5106905,Carré,FRA
35055,5106907,Artois,FRA
35905,5108473,Henner Sports,FRA
35934,5108515,FIXAGE,FRA
38303,5112401,KEMIX SAS,FRA
39160,5114016,BNP PARIBAS S A,FRA
44779,5172552,VARO ENERGY (FRANCE),FRA
45149,5173036,FAURECIA (FRANCE),FRA
45152,5173039,EDF (FRANCE),FRA
45153,5173040,EDF (FRANCE),FRA
45178,5173078,EUTELSAT (FRANCE),FRA
45254,5173179,Political Risk (France),FRA
45375,5173326,Political Risk (France),FRA
45461,5173463,THE RITZ HOTEL LIMITED (France),FRA
45515,5173524,Political Risk (France),FRA
45580,5173601,EUTELSAT (FRANCE),FRA
45581,5173603,EDF (FRANCE),FRA
45598,5173624,AXA DEVELOPMENT VENTURE V (France),FRA
45609,5181690,YONICO PISCINES,FRA
45611,5181692,XITECH,FRA
45619,5181710,VMA,FRA
45620,5181711,VLM PISCINES,FRA
45625,5181722,VILLÉ HOLDING,FRA
45626,5181724,VIDAL CONCEPT,FRA
45627,5181730,VELAN SAS,FRA
45628,5181733,VALLOUREC TUBES SAS,FRA
45629,5181734,VALLOUREC TUBES SAS,FRA
45630,5181735,VALLOUREC TUBES SAS,FRA
45631,5181737,VAGO SERVICES,FRA
45636,5181744,UGI FRANCE SAS,FRA
45638,5181746,TUNNEL EURALPIN LYON TURIN,FRA
45639,5181747,TSEE FRANCE,FRA
45640,5181753,TRANSDEV GROUP,FRA
45641,5181754,TRANSDEV GROUP,FRA
45642,5181755,TPG PACK,FRA
45643,5181756,TOURREAU SAS,FRA
45645,5181758,TOP FINANCIERE,FRA
45646,5181760,TIXID,FRA
45649,5181767,THERMOCOAX,FRA
45650,5181771,THALASSO PISCINES NORD ES,FRA
45651,5181777,TENDANCE PISCINE,FRA
45652,5181779,TEILLAIS PISCINES,FRA
45653,5181780,TEEZILY,FRA
45654,5181781,TECHNIP ENERGIES FRANCE,FRA
45655,5181782,TEAM PISCINE,FRA
45659,5181793,SYMALAB,FRA
45660,5181798,"SUITE, 10",FRA
45661,5181800,SUD ENERGIE PISCINE,FRA
45664,5181807,STEELCASE HOLDING SAS FRA,FRA
45666,5181810,STE FOREZIENNE DE RECUPER,FRA
45670,5181817,SPARETIME,FRA
45671,5181818,SPARE CONCEPT,FRA
45673,5181820,SOUDURE MONTAGE TOLERIE I,FRA
45674,5181822,SOPRONEM,FRA
45676,5181826,SOLBOCOL,FRA
45677,5181828,SODEXO S.A. (France),FRA
45678,5181831,SOCIETE ORAY,FRA
45679,5181834,SOCIETE DISTILLERIE DU LO,FRA
45680,5181836,SOCIETE DES PRODUITS DAR,FRA
45681,5181838,SOCIÉTÉ CARBODY,FRA
45682,5181840,SOCIETE ALU CB,FRA
45683,5181842,SOC TAMO,FRA
45684,5181843,SNACKS DEVELOPPEMENT,FRA
45685,5181845,SME-ENVIRONNEMENT,FRA
45687,5181849,SKIS ROSSIGNOL SAS,FRA
45688,5181851,SISTERIA,FRA
45691,5181861,SEPTODONT HOLDING,FRA
45692,5181862,SENALIA UNION,FRA
45693,5181863,SEITISS,FRA
45694,5181864,SEINE ET MARNE PISCINES,FRA
45695,5181865,SE CHAVEGRAND,FRA
45696,5181868,SCIERIE ET EXPLOITATION F,FRA
45698,5181870,SCI TOUR TRIANGLE,FRA
45705,5181891,SAS MAOLINE PISCINE 66,FRA
45706,5181892,SAS MANUFACTURE DE DIGOIN,FRA
45707,5181896,SAS DOMAINES LAUJAC,FRA
45708,5181901,SARL SCIERIE MOBILE PERRI,FRA
45709,5181908,SARL COM 32,FRA
45711,5181919,SAGEMCOM BROADBANDS SAS,FRA
45712,5181920,Safran S.A,FRA
45713,5181921,Safran S.A,FRA
45714,5181922,Safran S.A,FRA
45716,5181925,SA VINS GEORGES DUBOEUF,FRA
45717,5181927,SA GROUPE LE GRAET,FRA
45719,5181933,RTE RESEAU DE TRANSPORT D,FRA
45720,5181934,RTE RESEAU DE TRANSPORT D,FRA
45721,5181935,ROSSET SAMUEL,FRA
45722,5181936,ROMAIN MORICE,FRA
45723,5181941,REPUBLIQUE,FRA
45725,5181944,REKEEP SANTE,FRA
45728,5181950,RECYGEM,FRA
45729,5181951,RECUPERATION JOSEPH SABAT,FRA
45731,5181958,R.D. ROYANS VERCORS,FRA
45737,5181968,PROTECTUS,FRA
45739,5181971,PRONESTI RECYCLAGE,FRA
45742,5181975,PRET A POUSSER,FRA
45745,5181981,POLYKOTE,FRA
45746,5181983,POCHET SAS,FRA
45748,5181987,Plastic Omnium Gestion,FRA
45749,5181988,PISCINES SUD EVASION,FRA
45750,5181989,PISCINES QUIMPEROISES,FRA
45751,5181991,PISCINES PLAISIR LYON RIV,FRA
45752,5181995,PISCINES LNC DU MEDOC,FRA
45753,5181998,PISCINES ET SPAS DU HAUT-,FRA
45754,5181999,PISCINES EMOIS,FRA
45755,5182002,PISCINES CONSTRUCTIONS RE,FRA
45756,5182004,PISCINES CONCEPT 31,FRA
45757,5182006,PISCINES BORT,FRA
45758,5182009,PISCINES 42,FRA
45759,5182012,PISCINE ET DECO 82,FRA
45765,5182026,PEREZ PISCINE,FRA
45766,5182030,PAUL BOYE TECHNOLOGIES,FRA
45771,5182041,OZEANYS,FRA
45772,5182042,OXYGEN/HPI,FRA
45773,5182043,OXO,FRA
45774,5182046,OTR3,FRA
45777,5182058,ONASERV,FRA
45780,5182062,OENEO,FRA
45782,5182064,O PROVENCE PISCINES,FRA
45783,5182065,NTI COLLECTE SERVICE,FRA
45787,5182076,NOUVELLE RIZERIE DU NORD,FRA
45791,5182091,NEW 360 MAKER,FRA
45792,5182092,NEVERS PISCINES,FRA
45793,5182095,NAVAL GROUP,FRA
45795,5182097,NAINA PARK,FRA
45796,5182098,N.ICE,FRA
45797,5182099,MUNOZ,FRA
45799,5182104,MOUNIER FREDERIC JEAN YVE,FRA
45800,5182105,MOULIN DES ISCLES,FRA
45801,5182106,MORGANE,FRA
45803,5182109,MON-INSTAL-ELEC.COM,FRA
45804,5182112,MODAG,FRA
45805,5182114,MOBIVIA,FRA
45806,5182115,ML PISCINES 83,FRA
45807,5182116,MISTERPISCINES,FRA
45811,5182122,MG VALDUNES,FRA
45812,5182123,MG INVEST POUR LE COMPTE,FRA
45813,5182124,MEUNIER INDUSTRIES,FRA
45817,5182135,MECAFORGE,FRA
45818,5182137,MCV MARINE,FRA
45819,5182138,MAZET DE MONTARGIS,FRA
45821,5182143,MASC,FRA
45822,5182145,MARSY RECYCLAGE KOUROU,FRA
45823,5182148,MARIAGE FRERES SAS,FRA
45830,5182168,LVMH-MOET-HENNESSY-LOUISV,FRA
45831,5182169,LUX-ENTRETIEN,FRA
45833,5182172,LOUIS DREYFUS COMMODITIES,FRA
45834,5182175,LOIRE SEEDS,FRA
45838,5182184,LINVEST,FRA
45841,5182187,LHERAULT COLLECTE,FRA
45842,5182190,LES PISCINES DU SOLEIL,FRA
45843,5182191,LES PISCINES DU LIVRADOIS,FRA
45845,5182199,LEADER,FRA
45846,5182202,LD VINS,FRA
45847,5182205,LAOR,FRA
45848,5182207,Air Liquide S.A.,FRA
45849,5182208,Air Liquide S.A.,FRA
45850,5182210,LABORATOIRES KOL,FRA
45851,5182212,LA RENOMIERE,FRA
45852,5182214,LA MASTER BOX,FRA
45853,5182215,LA LILLOISE DE PISCINE,FRA
45856,5182221,KPA UNICON GROUP,FRA
45857,5182223,KOU BUGNY,FRA
45861,5182229,KIOU - AURA SARL,FRA
45867,5182240,JS PISCINES,FRA
45870,5182243,JOLISOL SARL,FRA
45872,5182250,JAM FRANCE,FRA
45874,5182252,JAD PISCINES,FRA
45878,5182270,INSTITUT REGIONAL DES MAT,FRA
45879,5182272,INSECTEINE,FRA
45881,5182274,INOVINEA,FRA
45882,5182277,INFINI LIGHTING,FRA
45887,5182285,IMPRIMERIE LEROYER,FRA
45892,5182296,IDEAL PISCINE 08,FRA
45894,5182299,IB PISCINES,FRA
45895,5182300,HYDRO LOISIRS,FRA
45900,5182313,HOLDING ELIXIRS SAS,FRA
45905,5182328,HELENE PISCINES,FRA
45906,5182333,HARMONIE PISCINE,FRA
45908,5182338,GUIRAUD TRADING,FRA
45909,5182339,GUERBET S.A.,FRA
45910,5182340,GSBE,FRA
45914,5182361,GRIMM,FRA
45915,5182362,GRIM SARL,FRA
45922,5182395,FRANCESCO SMALTO INTERNAT,FRA
45923,5182397,FRANCE LUZERNE UCAD,FRA
45924,5182398,FRANCE GALOP,FRA
45925,5182399,FRANCE CONSTRUCTIONS,FRA
45926,5182401,FP HYDRAULIQUE S A,FRA
45933,5182419,FITNESS LEADER GROUP,FRA
45934,5182428,FINANCIERE FLORE,FRA
45935,5182429,FINANCIERE DU BOIS LEUREN,FRA
45936,5182430,FINANCIERE DU BOIS LEUREN,FRA
45937,5182433,FIDELIUM BETEILIGUNGEN 10,FRA
45938,5182434,FICOFI SA,FRA
45940,5182439,FDA INTERNATIONAL,FRA
45941,5182441,FAUCON,FRA
45944,5182448,EXPLOITATION CAMPING LE R,FRA
45947,5182458,EURO DRILLING,FRA
45948,5182459,EURL PISCINES DETENTE LOI,FRA
45951,5182466,ETS LEBON ET VERNAY,FRA
45952,5182468,"ETIENNE LACROIX FINANCES,",FRA
45953,5182470,ETABLISSEMENTS RENE PARME,FRA
45954,5182473,ETABLISSEMENTS JACQUES BR,FRA
45957,5182480,ESPACE BLEU,FRA
45959,5182484,EQUIPE BAIE,FRA
45960,5182485,EQUANS L4,FRA
45961,5182486,EQUANS L2,FRA
45962,5182487,EPSYNA,FRA
45966,5182495,ELITECH FRANCE,FRA
45967,5182496,ELITE PISCINE,FRA
45971,5182501,ELECTRICFIL SA,FRA
45973,5182503,ELE.FIN SERVICES,FRA
45975,5182513,ECOBAG,FRA
45976,5182515,EASYTIS,FRA
45978,5182518,E.D.S.,FRA
45979,5182520,DV POOL SERVICES,FRA
45981,5182524,DP STEPHANOIS,FRA
45982,5182525,DP SAVOIE,FRA
45983,5182526,DOYO SAS,FRA
45984,5182527,DONATI FRANCE,FRA
45990,5182553,DAIMAY FRANCE SAS,FRA
45991,5182556,CXD FRANCE,FRA
45994,5182562,CREATIC EMBALL SERVICES,FRA
45995,5182563,COTON BLANC,FRA
45996,5182564,COTE TERRASSE,FRA
45998,5182571,CONSTELLIUM INTERNATIONAL,FRA
45999,5182572,CONSTELLIUM INTERNATIONAL,FRA
46000,5182573,CONSTELLIUM INTERNATIONAL,FRA
46005,5182590,COCORICO,FRA
46006,5182592,CMGA,FRA
46008,5182594,CMA/CGM HORS CEVA,FRA
46009,5182595,CMA/CGM,FRA
46011,5182599,CHROMELEC GROUPE ET INDUS,FRA
46013,5182601,CHILDREN STORY,FRA
46014,5182606,CHATARD,FRA
46016,5182609,CHANSARD FERMENTATION,FRA
46017,5182613,CENTAURE SERVICE,FRA
46018,5182614,CELIA SERVICES,FRA
46019,5182616,CD PISCINES,FRA
46021,5182623,CARRIERE PISCINES EVOLUTI,FRA
46023,5182626,CAPSYS,FRA
46024,5182627,CAPILLUM,FRA
46026,5182630,CAMPING DOMAINE DU PLAN,FRA
46027,5182631,CAMPING DE LESPERANCE,FRA
46028,5182632,CAMPING BEAU RIVAGE,FRA
46029,5182638,BV PROTO,FRA
46030,5182644,BROSSERIE JULIO,FRA
46032,5182646,BRIANE MANAGEMENT,FRA
46037,5182657,BONDUELLE SA,FRA
46038,5182658,BONDUELLE,FRA
46039,5182665,BISCUIT HOLDING,FRA
46042,5182684,BCO PISCINES,FRA
46046,5182694,B2B FRUIT TRADING,FRA
46047,5182696,AXIUM SOLUTIONS ALUMINIUM,FRA
46048,5182697,AXG PRODUCTIONS SAS,FRA
46049,5182698,AXE DV,FRA
46052,5182709,ATLANTIQUE ALIMENTAIRE,FRA
46053,5182713,ASSISTANCE LOGISTIQUE SER,FRA
46055,5182716,ARTS ENERGY,FRA
46056,5182717,Arkema SA,FRA
46057,5182718,Arkema SA,FRA
46058,5182719,Arkema SA,FRA
46059,5182720,ARJOBEX HOLDING,FRA
46061,5182726,AQUA POOL & CO,FRA
46062,5182727,AQUA PENSEZ VOUS,FRA
46063,5182730,APECYD INTERNATIONAL FRAN,FRA
46068,5182739,AMPLITUDE LASER GROUP,FRA
