,Ref_x,Subject,Locale_processed
5,1147056,Sky Deutschland AG,DEU
6,1147057,Sky Deutschland AG,DEU
36,1166764,PROJECT RADIAL (MR. ERICH RUSS),DEU
41,1166787,PROJECT PCC (PRIME CORPORATE CENTER GMBH&CO KG),DEU
69,1166906,PROJECT ARTUS (KNORR-BREMSE SYSTEME FUR NUTZFAHRZEUGE GMBH OF MOOSACHER STR.),DEU
89,1195216,TUI AG (POSI),DEU
92,1195413,OTTO (GmbH & Co KG) (POSI),DEU
99,1195570,innogy SE (POSI),DEU
102,1195665,EVONIK Industries AG (POSI),DEU
104,1195709,E.ON SE (Run-Off/POSI),DEU
105,1195766,Covestro AG,DEU
106,1195933,ZF Friedrichshafen AG POSI,DEU
107,1196181,Mahle GmbH POSI,DEU
108,1196369,Covestro AG,DEU
721,1563769,Project Alpha 2,DEU
1199,2331790,BASF SE LUDWIGSHAFEN,DEU
1491,2341095,Bayer AG*,DEU
1492,2341096,Bayer AG*,DEU
1547,2358875,Bayer AG*,DEU
2190,2545154,Bayer AG*,DEU
2201,2548113,Knorr Bremse AG,DEU
2509,2635648,Becker,DEU
2571,2796801,Knorr Bremse AG,DEU
2723,2812876,Knorr Bremse AG,DEU
2724,2812877,Knorr Bremse AG,DEU
2725,2812878,Knorr Bremse AG,DEU
2785,2815851,Bayer AG*,DEU
2786,2815852,Bayer AG*,DEU
2787,2815853,Bayer AG*,DEU
3754,3041461,Atlantic,DEU
4332,3242315,SCUR-ALPHA 1132 GMBH,DEU
4343,3243202,LSF11 SKYSCRAPER INVESTMENTS S,DEU
4492,3246325,Universitätsklinikum Ulm,DEU
5496,3854966,Project Sedona (xs),DEU
5505,3854975,Project Ocean (XS),DEU
5526,3854996,Project Bob,DEU
5942,4224731,SPEEDSTER BIDCO GMBH,DEU
5980,4224825,IRON MOUNTAIN,DEU
6011,4224913,BELLERO ENERGY HOLDING GMBH,DEU
6031,4224959,Project Tour,DEU
6054,4224984,Project Pure,DEU
6143,4225166,Schaeffler AG,DEU
6144,4225180,RAG Stiftung,DEU
6152,4225239,MANN Immobilien-Verwaltung AG,DEU
6167,4225334,EVONIK Industries AG *,DEU
6170,4225354,EAM GmbH & Co.KG,DEU
6183,4225422,BAUER AG,DEU
6213,4225509,Project Porto,DEU
6237,4225555,Project Galilei,DEU
6246,4225566,Project Europa BVK,DEU
6258,4225590,Project Calcium,DEU
6319,4225714,SCUR-Alpha 1281 GmbH,DEU
6320,4225715,SCUR-Alpha 1281 GmbH,DEU
6332,4225740,RG GAM Beteiligungen und Service KG,DEU
6333,4225741,RG GAM Beteiligungen und Service KG,DEU
6365,4225803,OLYMPUS EUROPA SE & CO. KG,DEU
