Index,Name,gt_ID,gt_Name,Predicted Match,Actual Match,Exact,.,other punctuation,white space,truncation,spelling mistakes,var lacks suffix,gt lacks suffix,long vs short suffix,extra words,insurance words,the,acronym,.com,Global
0,ACELYRIN GLOBAL,241295,ACELYRIN INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,AGIOS PHARMACEUT GLOBAL,373513,AGIOS PHARMACEUTICALS INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2,ALBERT B SABIN US,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ALNYLAM PHARMACEUT GLOBAL,241377,ALNYLAM PHARMACEUTICALS INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4,ALVOGEN PINE BROOK US,2485134,ALVOGEN INC,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5,AMYLYX PHARMACEU GLOBAL,241446,AMYLYX PHARMACEUTICALS INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6,AMYLYX PHARMACEUTICALS,241446,AMYLYX PHARMACEUTICALS INC.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7,AMYLYX PHARMACEUTICALS INC,241446,AMYLYX PHARMACEUTICALS INC.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,AN2 THERAPEUTICS,373752,AN2 THERAPEUTICS INC.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,AN2 THERAPEUTICS GLOBAL,373752,AN2 THERAPEUTICS INC.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
10,AN2 THERAPEUTICS INC,373752,AN2 THERAPEUTICS INC.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ANAPTYSBIO GLOBAL,373758,ANAPTYSBIO INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,ANTHOS THERAPEUTI GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,ANTIVA BIOSCIENCE GLOBAL,390497,ANTIVA BIOSCIENCES INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14,APELLIS PHARMACEU GLOBAL,241461,APELLIS PHARMACEUTICALS INC.,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
15,AUTONOMIX MEDICAL GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,AVANA COMPANIES LLC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AVANA HEALTH GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Aviator,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Aviator (3XS),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Aviator 1 XS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Aviator 2 XS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Aviator 3 XS,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BIOHAVEN PHARMACEUTICA US,17681,BIOHAVEN PHARMACEUTICALS,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,BIOHAVEN THERAPEUT GLOBAL,17681,BIOHAVEN PHARMACEUTICALS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,BORNS CTP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BORNS MEDICAL ROBO GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CBRE,347573,CBRE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CBRE CAPITAL MARKETS OF TEXAS,347703,CBRE CAPITAL MARKETS INC,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,"CBRE GROUP, INC",92912,CBRE GROUP INC.,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,CBRE LOAN SERVICES INC,347783,CBRE LOAN SERVICES INC.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CEN (equity) (United States),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CEN (fixed) (United States),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CEN (mobile) (United States),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,CHINOOK THERAPEUTICS US,473135,CHINOOK THERAPEUTICS U.S. INC.,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,CLINUVEL GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CONFLUENT,241890,CONFLUENT INC.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,CONFLUENT INC,241890,CONFLUENT INC.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"CONFLUENT, INC.",241890,CONFLUENT INC.,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,CPC CLINICAL RESE GLOBAL,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,CPC Corporation (United States),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CROWN,195638,CROWN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Camurus AB,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,DENKA PERFORMANCE ELASTOMER,1901780,DENKA PERFORMANCE ELASTOMERS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,DOLLAR GENERAL CORPORATION,800709,DOLLAR GENERAL CORRPORATION,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DOLLAR MUTUAL BANCORP,3208593,DOLLAR MUTUAL BANCORP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
