Index,Name,gt_ID,gt_Name,Predicted Match,Actual Match,Exact,.,other punctuation,white space,truncation,spelling mistakes,var lacks suffix,gt lacks suffix,long vs short suffix,extra words,insurance words,the,acronym,.com
0,7 DARMOR,,,,0,0,0,0,0,,,,,,,,0,,0
1,A CENTAURE,,,,0,0,0,0,0,,,,,,,,0,,0
2,ACD AVOCATS,,,,0,0,0,0,0,,,,,,,,0,,0
3,AD-HOC SCIENTIFIC,,,,0,0,0,1,0,,,,,,,,0,,0
4,ADISSEO,1265508,ADISSEO USA INC.,,1,0,0,0,0,,,,,,,,0,,0
5,ADISSEO FRANCE S.A.S.,1108635,ADISSEO FRANCE SAS,,1,0,1,0,0,,,,,,,,0,,0
6,ADISSEO FRANCE SAS,1108635,ADISSEO FRANCE SAS,,1,0,0,0,0,,,,,,,,0,,0
7,AEROPORT GUADELOUPE POLE,,,,0,0,0,0,0,,,,,,,,0,,0
8,AEROPORT GUADELOUPE POLE CARAIBES SA,,,,0,0,0,0,0,,,,,,,,0,,0
9,AFI ATELIERS FABRICATIONS INDUSTRIELLES,,,,0,0,0,0,0,,,,,,,,0,,0
10,ALBATROS,593554,ALBATROS,,1,0,0,0,0,,,,,,,,0,,0
11,ALIANE,,,,0,0,0,0,0,,,,,,,,0,,0
12,ARHLM ASSOCIATION REGIONALE DES ORGANISMES HLM REGIONS PROVENCE ALPES COTE AZUR,,,,0,0,0,0,0,,,,,,,,0,,0
13,ARIANE GROUP,2490302,ARIANEGROUP SAS,,1,0,0,0,0,,,,,,,,0,,0
14,ARIANEGROUP,2490302,ARIANEGROUP SAS,,1,0,0,0,0,,,,,,,,0,,0
15,ARIANEGROUP HOLDI GLOBAL,2300902,ARIANEGROUP HOLDING,,1,0,0,0,0,,,,,,,,0,,0
16,ARIANEGROUP HOLDING SAS,2300902,ARIANEGROUP HOLDING,,1,0,0,0,0,,,,,,,,0,,0
17,ARIANEGROUP SAS,2490302,ARIANEGROUP SAS,,1,0,0,0,0,,,,,,,,0,,0
18,ARIANEGROUPE HOLDING SAS,2300902,,,1,0,0,0,0,,,,,,,,0,,0
19,ASSOCIATION CENTAURE,,,,0,0,0,0,0,,,,,,,,0,,0
20,ASSOCIATION MONTJOYE,,,,0,0,0,0,0,,,,,,,,0,,0
21,ASSOCIATION SAINT ANDRE,,,,0,0,0,0,0,,,,,,,,0,,0
22,ATHLON FR,2381047,ATHLON FRANCE SNC,,1,0,0,0,0,,,,,,,,0,,0
23,AUDEMARD,,,,0,0,0,0,0,,,,,,,,0,,0
24,AUROBAC THERAPEUTICS,495614,AUROBAC THERAPEUTICS SAS,,1,0,0,0,0,,,,,,,,0,,0
25,AUROBAC THERAPEUTICS SAS,495614,AUROBAC THERAPEUTICS SAS,,1,0,0,0,0,,,,,,,,0,,0
26,BIO COIN JOLI,,,,0,0,0,0,0,,,,,,,,0,,0
27,BOZEL EUROPE,,,,0,0,0,0,0,,,,,,,,0,,0
28,BOZEL EUROPE SAS,,,,0,0,0,0,0,,,,,,,,0,,0
29,CHATEAU PONTET CANET,,,,0,0,0,0,0,,,,,,,,0,,0
30,CHLORIDE GLOBAL,3301430,CHLORIDE GLOBAL,,1,0,0,0,0,,,,,,,,0,,0
31,CHLORIDE SAS,3301430,CHLORIDE GLOBAL,,1,0,0,0,0,,,,,,,,0,,0
32,CONCEPT ENTREPRISE INFORM,,,,0,0,0,0,0,,,,,,,,0,,0
33,CONCEPT ENTREPRISE INFORMATIQUE,,,,0,0,0,0,0,,,,,,,,0,,0
34,COPROPRIETE LES FLORALIES,,,,0,0,0,0,0,,,,,,,,0,,0
35,COTIERE PISCINES,593738,PISCINES DESJOYAUX SA,,1,0,0,0,0,,,,,,,,0,,0
36,Capital Synthese,,,,0,0,0,0,0,,,,,,,,0,,0
37,DESENFANS & CO,1400875,DESENFANS,,1,0,0,1,0,,,,,,,,0,,0
38,DESENFANS ET CO,1400875,DESENFANS,,1,0,0,0,0,,,,,,,,0,,0
39,EDEIS EXPLOITATION DU TRA,,,,0,0,0,0,0,,,,,,,,0,,0
40,EDEIS EXPLOITATION DU TRAIN DELA MURE,,,,0,0,0,0,0,,,,,,,,0,,0
41,ENTREPRISE AUDEMARD,,,,0,0,0,0,0,,,,,,,,0,,0
42,ENTREPRISE AUDEMARD PACIFIQUE (EAP) NOUVELLE CALEDONIE,,,,0,0,0,1,0,,,,,,,,0,,0
43,EPROC FACTORY,,,,0,0,0,0,0,,,,,,,,0,,0
44,EPSYNA,,,,0,0,0,0,0,,,,,,,,0,,0
45,FEELING,,,,0,0,0,0,0,,,,,,,,0,,0
46,FEETME,,,,0,0,0,0,0,,,,,,,,0,,0
47,FINANCIERE C.V.L.,3157382,FINANCIERE C V L,,1,0,1,0,0,,,,,,,,0,,0
48,FINANCIERE DE LA MACHE,,,,0,0,0,0,0,,,,,,,,0,,0
49,FOREIS (FONDS DE DOTATION),,,,0,0,0,1,0,,,,,,,,0,,0
50,FP BUSINESS INVEST,,,,0,0,0,0,0,,,,,,,,0,,0
51,FV PARTENAIRE,,,,0,0,0,0,0,,,,,,,,0,,0
52,GO2ROUES,,,,0,0,0,0,0,,,,,,,,0,,0
53,GPE MACO PHARMA INT - GMP,1479693,MACO PHARMA,,1,0,0,1,0,,,,,,,,0,,0
54,GROUPE BEDEL,,,,0,0,0,0,0,,,,,,,,0,,0
55,GROUPE DELMONICO DOREL,,,,0,0,0,0,0,,,,,,,,0,,0
56,GROUPE DV,,,,0,0,0,0,0,,,,,,,,0,,0
57,GROUPE DV.,,,,0,0,1,0,0,,,,,,,,0,,0
58,GROUPE MACO PHARMA (GMPI),1479693,MACO PHARMA,,1,0,0,1,0,,,,,,,,0,,0
59,HOLDING 2 AILES,,,,0,0,0,0,0,,,,,,,,0,,0
60,HOLDING JPB,,,,0,0,0,0,0,,,,,,,,0,,0
61,HYDR.A,,,,0,0,1,0,0,,,,,,,,0,,0
62,IMAGIN,,,,0,0,0,0,0,,,,,,,,0,,0
63,IMFPA,,,,0,0,0,0,0,,,,,,,,0,,0
64,INSTITUT DE PSYCHOLOGIE PRATIQUE DE L INSTITUT CATHOLIQUE L ASSOCIATION DES ANCIENS ET DE FORMATION,,,,0,0,0,0,0,,,,,,,,0,,0
65,J.A.M.,,,,0,0,1,0,0,,,,,,,,0,,0
66,JALLATTE SAS,,,,0,0,0,0,0,,,,,,,,0,,0
67,JATROPHA SCA SICAV-FIS,,,,0,0,0,1,0,,,,,,,,0,,0
68,JMP SECURITE,1389447,JMP GROUP INC.,,1,0,0,0,0,,,,,,,,0,,0
69,JOLLIET INNOVATION,,,,0,0,0,0,0,,,,,,,,0,,0
70,LACOUR HOLDING,,,,0,0,0,0,0,,,,,,,,0,,0
71,LALBATROS,593554,ALBATROS,,1,0,0,0,0,,,,,,,,0,,0
72,LECTRA FRANCE POUR SON PR,,,,0,0,0,0,0,,,,,,,,0,,0
73,LECTRA France pour son proprecompte et pour le compte de se,,,,0,0,0,0,0,,,,,,,,0,,0
74,LECTRA SA,112283,LECTRA,,1,0,0,0,0,,,,,,,,0,,0
75,LES TAMARINS,,,,0,0,0,0,0,,,,,,,,0,,0
76,LISI,377608,LISI SA,,1,0,0,0,0,,,,,,,,0,,0
77,LISI SA,377608,LISI SA,,1,0,0,0,0,,,,,,,,0,,0
78,Le portalet,,,,0,0,0,0,0,,,,,,,,0,,0
79,MALEA REST,,,,0,0,0,0,0,,,,,,,,0,,0
80,MP GEOTEX,,,,0,0,0,0,0,,,,,,,,0,,0
81,OFF WHITE OPERAT GLOBAL,,,,0,0,0,0,0,,,,,,,,0,,0
82,OLMA IMMOBILIER REP COP M,,,,0,0,0,0,0,,,,,,,,0,,0
83,OLMA IMMOBILIER REP COP MONTET OCTROI,,,,0,0,0,0,0,,,,,,,,0,,0
84,OPALE TOPCO,,,,0,0,0,0,0,,,,,,,,0,,0
85,OPTIMIS ACTION,,,,0,0,0,0,0,,,,,,,,0,,0
86,PORCHERON FRERES ET CIE,,,,0,0,0,0,0,,,,,,,,0,,0
87,REKEEP SANTE,,,,0,0,0,0,0,,,,,,,,0,,0
88,REQUET CHABANEL AGISSANT TANT POUR SON COMPTE QUEPOUR CELUI DE SPFPL HRC SAS ET ASFODES,,,,0,0,0,0,0,,,,,,,,0,,0
89,RESALLIANCE,,,,0,0,0,0,0,,,,,,,,0,,0
90,REXEL ELECTRIQUE,1337683,REXEL ELECTRICAL,,1,0,0,0,0,,,,,,,,0,,0
91,RYOHIN KEIKAKU FRANCE,2173719,RYOHIN KEIKAKU FRANCE SAS,,1,0,0,0,0,,,,,,,,0,,0
92,S.T.B. SOCIETE TRAVAUX BATIMENTS,,,,0,0,1,0,0,,,,,,,,0,,0
93,SAILS AND SWING,,,,0,0,0,0,0,,,,,,,,0,,0
94,SARL BOURNEZ GUILLOT,,,,0,0,0,0,0,,,,,,,,0,,0
95,SAS ARIANEGROUP HOLDING,2300902,ARIANEGROUP HOLDING,,1,0,0,0,0,,,,,,,,0,,0
96,SAS DECO-PREM AGISSANT TANT POUR SON COMPTE QUE POUR CELUI DE SA HOLDING DUJOURDHUI PATRIMOINES,,,,0,0,0,1,0,,,,,,,,0,,0
97,SAS LUSCIE,,,,0,0,0,0,0,,,,,,,,0,,0
98,SC PRYM TANT POUR SON COMPTE QUE POUR CELUI DES ETS DUAULT ET LITERIE SAINT PIERRE,,,,0,0,0,0,0,,,,,,,,0,,0
99,SDC 3 /40 RUE DE LA CHAUS LA CHAUSSE REP PAR TIFFEN COGE,,,,0,0,0,1,0,,,,,,,,0,,0
100,SECHE ECO SERVICES,598459,SECHE ECO SERVICES,,1,0,0,0,0,,,,,,,,0,,0
101,SEINE ET MARNE PISCINES,593738,PISCINES DESJOYAUX SA,,1,0,0,0,0,,,,,,,,0,,0
102,SGF SAS,,,,0,0,0,0,0,,,,,,,,0,,0
103,SIACI SAINT HONORE,615648,SIACI SAINT HONORE,,1,0,0,0,0,,,,,,,,0,,0
104,SMW AUTOBLOK,537455,SMW-AUTOBLOK SPANNSYSTEME GMBH,,1,0,0,0,0,,,,,,,,0,,0
105,SNC PARIS AUSTERLITZ A7A8,1585478,SNC PARIS AUSTERLITZ A7A8,,1,0,0,0,0,,,,,,,,0,,0
106,SOCIETE FINANCIERE VERRIER HOLDING,,,,0,0,0,0,0,,,,,,,,0,,0
107,SOCIETE PROVENCALE DE MATERIAUX,,,,0,0,0,0,0,,,,,,,,0,,0
108,SODISPO,,,,0,0,0,0,0,,,,,,,,0,,0
109,SOGETREL,599563,SOGETREL,,1,0,0,0,0,,,,,,,,0,,0
110,SSDT,,,,0,0,0,0,0,,,,,,,,0,,0
111,STIRWELD,,,,0,0,0,0,0,,,,,,,,0,,0
