Index,Name,gt_ID,gt_Name,Predicted Match,Actual Match,Exact,.,other punctuation,white space,truncation,spelling mistakes,var lacks suffix,gt lacks suffix,long vs short suffix,extra words,insurance words,the,acronym,.com
0,ADOLF WÜRTH GMBH & CO KG,522287,ADOLF WUERTH GMBH & CO. KG,0,1,0,0,1,0,,,,,,,,0,,0
1,ALTONA DIAGNOSTICS GMBH,1478161,ALTONA DIAGNOSTICS GMBH,0,1,0,0,0,0,,,,,,,,0,,0
2,ARA AG - Management board,514449,ARA AG,0,1,0,0,1,0,,,,,,,,0,,0
3,ARA AG - Supervisory board,514449,ARA AG,0,1,0,0,1,0,,,,,,,,0,,0
4,ARTRON EUROPE GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0
5,ATI Logistik GmbH & Co. KG,,,0,0,0,1,1,0,,,,,,,,0,,0
6,Aergo Holdings Limited,,,0,0,0,0,0,0,,,,,,,,0,,0
7,Aluminium Rheinfelden Alloys GmbH,3224279,ALUMINIUM RHEINFELDEN ALLOYS GMBH,0,1,0,0,0,0,,,,,,,,0,,0
8,BA23,,,0,0,0,0,0,0,,,,,,,,0,,0
9,BEC GESELLSCHAFT FÜR PRODUKT-MNAGEMENT MBH,,,0,0,0,0,1,0,,,,,,,,0,,0
10,BOLLMANN BRENNSTOFFE GMBH,,,0,0,0,0,0,0,,,,,,,,0,,0
11,Balandis Real Estate GmbH,,,0,0,0,0,0,0,,,,,,,,0,,0
12,Batavus II,,,0,0,0,0,0,0,,,,,,,,0,,0
13,Broetje-Automation GmbH,499368,BROETJE-AUTOMATION GMBH,0,1,0,0,1,0,,,,,,,,0,,0
14,CARCOUSTICS BELGIUM N.V. - MNC CAS -  CARCOUSTICSINTERNATIONAL GMBH,1034505,CARCOUSTICS INTERNATIONAL GMBH,0,1,0,1,1,0,,,,,,,,0,,0
15,CARCOUSTICS INTERNATIONAL,1034505,CARCOUSTICS INTERNATIONAL GMBH,0,1,0,0,0,0,,,,,,,,0,,0
16,CARLINO 1 S.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0
17,CARLINO FTV 2 S.A.S. DI ITALIAN SOLARPOWER PROJECTS 1 S.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0
18,CARLINO FTV 3 S.R.L.,,,0,0,0,1,0,0,,,,,,,,0,,0
19,Certa Batavus II,,,0,0,0,0,0,0,,,,,,,,0,,0
20,Certa ESB Nord,,,0,0,0,0,0,0,,,,,,,,0,,0
21,DB Energie GmbH,1327246,DB ENERGIE GMBH,0,1,0,0,0,0,,,,,,,,0,,0
22,DEUTSCHE INDUSTRIE UND PARKHAUSBAU GMBH,,,0,0,0,0,0,0,,,,,,,,0,,0
